time,gFx,gFy,gFz,TgF
0.293815625,-0.3360,-0.1300,1.1689,1.223
0.296267188,-0.3355,-0.1486,1.1816,1.237
0.298692761,-0.3208,-0.1613,1.1757,1.229
0.301892188,-0.3243,-0.1726,1.1562,1.213
0.304358594,-0.3286,-0.1740,1.1552,1.214
0.306337865,-0.3360,-0.1672,1.1513,1.211
0.309067604,-0.3457,-0.1583,1.1401,1.202
0.313618906,-0.3492,-0.1554,1.1406,1.203
0.313893959,-0.3413,-0.1422,1.1464,1.205
0.316224115,-0.3511,-0.1227,1.1469,1.206
0.319791771,-0.3433,-0.1173,1.1376,1.194
0.321279011,-0.3428,-0.1115,1.1435,1.199
0.323838698,-0.3482,-0.0934,1.1415,1.197
0.326575104,-0.3540,-0.0978,1.1430,1.201
0.328363802,-0.3589,-0.0944,1.1430,1.202
0.331173698,-0.3643,-0.0778,1.1542,1.213
0.333609167,-0.3682,-0.0827,1.1430,1.204
0.338732031,-0.3628,-0.0753,1.1581,1.216
0.340318854,-0.3550,-0.0802,1.1620,1.218
0.341666875,-0.3472,-0.0953,1.1723,1.226
0.345794271,-0.3409,-0.1007,1.1591,1.212
0.346427031,-0.3599,-0.1017,1.1562,1.215
0.35313849,-0.3462,-0.1286,1.1445,1.203
0.353975573,-0.3599,-0.1080,1.1557,1.215
0.354914948,-0.3648,-0.1105,1.1454,1.207
0.356085209,-0.3623,-0.1139,1.1616,1.222
0.35880599,-0.3628,-0.1300,1.1547,1.217
0.361240625,-0.3614,-0.1315,1.1635,1.225
0.364157084,-0.3159,-0.1295,1.1674,1.216
0.366243542,-0.2553,-0.1281,1.1869,1.221
0.368476927,-0.2563,-0.1349,1.1674,1.203
0.371310521,-0.2763,-0.1393,1.1127,1.155
0.373912396,-0.3149,-0.1290,1.0570,1.110
0.375618073,-0.3799,-0.1369,0.9964,1.075
0.378162761,-0.3941,-0.1354,0.9856,1.070
0.380661198,-0.3789,-0.1383,1.0355,1.111
0.383548906,-0.3472,-0.1486,1.1000,1.163
0.385891511,-0.3130,-0.1588,1.1464,1.199
0.388412813,-0.3139,-0.1711,1.1684,1.222
0.390873334,-0.3144,-0.1628,1.1699,1.222
0.39331625,-0.3374,-0.1784,1.1855,1.245
0.395729531,-0.3516,-0.1760,1.2031,1.266
0.398197604,-0.3550,-0.1765,1.2461,1.308
0.401701354,-0.3536,-0.1750,1.3067,1.365
0.403370677,-0.3482,-0.1916,1.3463,1.404
0.405982136,-0.3536,-0.1897,1.3971,1.454
0.408588698,-0.3579,-0.1955,1.4166,1.474
0.411143229,-0.3745,-0.2009,1.4249,1.487
0.413763177,-0.3780,-0.2043,1.4499,1.512
0.415982031,-0.3780,-0.2097,1.4777,1.540
0.418645729,-0.3799,-0.2043,1.4953,1.556
0.42145974,-0.3858,-0.2165,1.5045,1.568
0.423599636,-0.3872,-0.2194,1.5143,1.578
0.425564115,-0.3829,-0.2160,1.5085,1.571
0.428637709,-0.3936,-0.2063,1.4933,1.558
0.431192084,-0.3995,-0.2028,1.4801,1.546
0.433953021,-0.3872,-0.2077,1.4645,1.529
0.446349844,-0.3858,-0.2107,1.4499,1.515
0.447363542,-0.3824,-0.2038,1.4239,1.488
0.447885834,-0.3882,-0.2175,1.3570,1.428
0.448276719,-0.3794,-0.2116,1.3203,1.390
0.448606615,-0.3462,-0.2146,1.3277,1.389
0.449402917,-0.3105,-0.2033,1.3805,1.429
0.451756198,-0.2905,-0.2214,1.4068,1.453
0.45418599,-0.2671,-0.2351,1.4298,1.473
0.456397552,-0.2607,-0.2570,1.4117,1.458
0.458955,-0.2397,-0.2874,1.3897,1.439
0.461273698,-0.2363,-0.3050,1.3658,1.419
0.464283959,-0.2118,-0.3260,1.3555,1.410
0.46689099,-0.1986,-0.3421,1.3380,1.395
0.471667761,-0.1908,-0.3562,1.3428,1.402
0.472603594,-0.1796,-0.3699,1.3208,1.383
0.473927396,-0.1644,-0.3758,1.3110,1.374
0.476408021,-0.1576,-0.3817,1.2759,1.341
0.478872396,-0.1488,-0.3807,1.2573,1.322
0.481514792,-0.1303,-0.3704,1.2461,1.306
0.485122292,-0.1058,-0.3631,1.2329,1.290
0.486108334,-0.1004,-0.3474,1.2123,1.265
0.489611094,-0.0892,-0.3098,1.1865,1.229
0.491486459,-0.0755,-0.2585,1.1547,1.186
0.494350417,-0.0716,-0.2004,1.1342,1.154
0.496454167,-0.0711,-0.1515,1.0980,1.111
0.498902084,-0.0662,-0.0812,1.0467,1.052
0.502138646,-0.0594,-0.0396,0.9886,0.991
0.503928281,-0.0613,-0.0025,0.9661,0.968
0.506264636,-0.0506,0.0209,0.9334,0.935
0.508714063,-0.0443,0.0424,0.8957,0.898
0.511567865,-0.0428,0.0615,0.8913,0.894
0.513855365,-0.0516,0.0640,0.8703,0.874
0.515969219,-0.0472,0.0806,0.8913,0.896
0.518930677,-0.0589,0.0957,0.8977,0.905
0.5210925,-0.0496,0.1118,0.9319,0.940
0.523545781,-0.0540,0.1406,0.9744,0.986
0.525220625,-0.0530,0.1812,1.0077,1.025
0.529028542,-0.0579,0.2066,1.0438,1.066
0.532432083,-0.0662,0.2462,1.0658,1.096
0.533985156,-0.0677,0.2848,1.0980,1.136
0.54590875,-0.0770,0.3122,1.1391,1.184
0.546810521,-0.1019,0.3307,1.1489,1.200
0.547176198,-0.1151,0.3512,1.1650,1.222
0.547477708,-0.1146,0.3762,1.1630,1.228
0.547789636,-0.1053,0.3908,1.1689,1.237
0.54943875,-0.0843,0.4114,1.1791,1.252
0.55853349,-0.0643,0.4192,1.1708,1.245
0.559245833,-0.0369,0.4324,1.1845,1.261
0.559504844,-0.0067,0.4485,1.1948,1.276
0.559734011,0.0178,0.4704,1.1855,1.276
0.561274792,0.0393,0.4891,1.1850,1.283
0.562866511,0.0652,0.5164,1.1752,1.285
0.565262188,0.1146,0.5076,1.1840,1.293
0.568025886,0.1458,0.4925,1.1909,1.297
0.570164792,0.1795,0.4748,1.1835,1.288
0.572479844,0.2039,0.4661,1.1904,1.295
0.574747656,0.2211,0.4573,1.1972,1.300
0.577410156,0.2279,0.4612,1.2021,1.308
0.579778646,0.2318,0.4573,1.2128,1.317
0.582573802,0.2323,0.4607,1.2227,1.327
0.585595833,0.2304,0.4827,1.2305,1.342
0.588108854,0.2245,0.4896,1.2290,1.342
0.590805261,0.2098,0.5003,1.2368,1.351
0.592786667,0.1878,0.5071,1.2441,1.357
0.595432865,0.1751,0.5159,1.2500,1.364
0.597900261,0.1434,0.5286,1.2476,1.363
0.601596667,0.1195,0.5491,1.2500,1.371
0.602593802,0.1004,0.5584,1.2446,1.368
0.607002656,0.0691,0.5740,1.2398,1.368
