time,gFx,gFy,gFz,TgF
0.301183698,-0.0682,0.5345,0.8679,1.022
0.303704271,-0.0726,0.5433,0.8742,1.032
0.306893021,-0.0760,0.5330,0.8899,1.040
0.309230208,-0.0701,0.5413,0.8918,1.046
0.317064115,-0.0701,0.5320,0.8899,1.039
0.317420313,-0.0726,0.5355,0.8860,1.038
0.317566667,-0.0677,0.5281,0.8943,1.041
0.31884625,-0.0706,0.5369,0.8899,1.042
0.32129849,-0.0657,0.5237,0.8923,1.037
0.323888646,-0.0589,0.5389,0.8933,1.045
0.328247656,-0.0579,0.5291,0.8860,1.034
0.330721198,-0.0653,0.5350,0.8913,1.042
0.333424479,-0.0628,0.5325,0.8835,1.034
0.335136719,-0.0574,0.5315,0.8801,1.030
0.337289844,-0.0613,0.5306,0.8762,1.026
0.33973776,-0.0570,0.5384,0.8752,1.029
0.34291125,-0.0584,0.5345,0.8708,1.023
0.34438625,-0.0599,0.5262,0.8708,1.019
0.346876198,-0.0550,0.5335,0.8679,1.020
0.348910781,-0.0628,0.5345,0.8571,1.012
0.351180469,-0.0565,0.5423,0.8708,1.027
0.353597708,-0.0516,0.5418,0.8625,1.020
0.356101198,-0.0511,0.5394,0.8615,1.018
0.359565417,-0.0540,0.5447,0.8596,1.019
0.361273281,-0.0560,0.5408,0.8713,1.027
0.366066667,-0.0584,0.5389,0.8635,1.020
0.367064063,-0.0555,0.5364,0.8581,1.014
0.369236719,-0.0579,0.5389,0.8537,1.011
0.371354635,-0.0526,0.5447,0.8508,1.012
0.373783698,-0.0618,0.5335,0.8552,1.010
0.377473906,-0.0482,0.5399,0.8591,1.016
0.378679063,-0.0550,0.5447,0.8474,1.009
0.381409688,-0.0482,0.5394,0.8523,1.010
0.384731615,-0.0457,0.5384,0.8606,1.016
0.386701979,-0.0521,0.5477,0.8620,1.023
0.38934,-0.0428,0.5482,0.8552,1.017
0.391046198,-0.0452,0.5408,0.8527,1.011
0.393546979,-0.0447,0.5525,0.8547,1.019
0.396923229,-0.0418,0.5389,0.8581,1.014
0.398382969,-0.0394,0.5408,0.8527,1.011
0.400788698,-0.0399,0.5403,0.8498,1.008
0.403403594,-0.0379,0.5438,0.8523,1.012
0.405740729,-0.0384,0.5438,0.8576,1.016
0.408791875,-0.0408,0.5340,0.8654,1.018
0.411057448,-0.0267,0.5472,0.8645,1.023
0.41339724,-0.0281,0.5359,0.8635,1.017
0.416636615,-0.0296,0.5423,0.8694,1.025
0.418445417,-0.0233,0.5403,0.8772,1.030
0.420975833,-0.0159,0.5408,0.8767,1.030
0.423592917,-0.0106,0.5374,0.8752,1.027
0.42591125,-0.0052,0.5369,0.8850,1.035
0.428189844,-0.0003,0.5325,0.8786,1.027
0.430949583,0.0051,0.5330,0.8864,1.034
0.433405729,0.0100,0.5374,0.8850,1.035
0.435832604,0.0164,0.5350,0.8928,1.041
0.438380937,0.0208,0.5325,0.8908,1.038
0.440838906,0.0232,0.5272,0.8947,1.039
0.445144792,0.0242,0.5276,0.9001,1.044
0.446760833,0.0261,0.5247,0.8972,1.040
0.448736354,0.0247,0.5257,0.9021,1.044
0.451081406,0.0276,0.5257,0.8987,1.041
0.45342474,0.0325,0.5330,0.8987,1.045
0.456136354,0.0217,0.5247,0.9016,1.043
0.460934323,0.0183,0.5272,0.9026,1.045
0.461396927,0.0154,0.5281,0.8962,1.040
0.46413099,0.0115,0.5286,0.9070,1.050
0.467549375,0.0061,0.5272,0.9026,1.045
0.469318385,-0.0027,0.5228,0.9104,1.050
0.470877604,-0.0154,0.5232,0.9153,1.054
0.473251562,-0.0169,0.5247,0.9124,1.053
0.475759531,-0.0233,0.5232,0.9280,1.066
0.478100417,-0.0233,0.5223,0.9246,1.062
0.480577656,-0.0296,0.5306,0.9265,1.068
0.483092552,-0.0335,0.5359,0.9300,1.074
0.485728437,-0.0394,0.5350,0.9378,1.080
0.488061042,-0.0452,0.5330,0.9300,1.073
0.491234479,-0.0418,0.5311,0.9344,1.076
0.493587865,-0.0418,0.5418,0.9348,1.081
0.496254583,-0.0462,0.5350,0.9314,1.075
0.499698646,-0.0550,0.5340,0.9392,1.082
0.501238177,-0.0511,0.5301,0.9466,1.086
0.503411302,-0.0516,0.5296,0.9436,1.083
0.505865833,-0.0408,0.5281,0.9432,1.082
0.50925099,-0.0369,0.5355,0.9456,1.087
0.510669115,-0.0355,0.5198,0.9432,1.078
0.513413229,-0.0374,0.5213,0.9412,1.077
0.515750833,-0.0355,0.5066,0.9368,1.066
0.518233594,-0.0286,0.5042,0.9407,1.068
0.520437448,-0.0306,0.5037,0.9417,1.068
0.523374844,-0.0286,0.5037,0.9348,1.062
0.526405104,-0.0267,0.4905,0.9222,1.045
0.531549531,-0.0237,0.4866,0.9085,1.031
0.53195875,-0.0267,0.4788,0.9158,1.034
0.533218281,-0.0301,0.4778,0.9080,1.026
0.537320885,-0.0345,0.4661,0.8996,1.014
0.538033958,-0.0428,0.4670,0.8938,1.009
0.540420469,-0.0438,0.4636,0.8913,1.006
0.543066094,-0.0467,0.4543,0.8884,0.999
0.545902917,-0.0511,0.4509,0.8840,0.994
0.548086562,-0.0560,0.4514,0.8825,0.993
0.550623281,-0.0667,0.4358,0.8835,0.987
0.552900469,-0.0657,0.4499,0.8757,0.987
0.555227812,-0.0648,0.4485,0.8664,0.978
0.5577975,-0.0765,0.4465,0.8606,0.973
0.560398802,-0.0696,0.4416,0.8674,0.976
0.56322901,-0.0765,0.4485,0.8718,0.983
0.566003958,-0.0745,0.4377,0.8689,0.976
0.568153281,-0.0823,0.4377,0.8654,0.973
0.570640365,-0.0902,0.4377,0.8781,0.985
0.572893906,-0.0902,0.4309,0.8737,0.978
0.575811875,-0.0882,0.4343,0.8903,0.995
0.578419948,-0.1053,0.4319,0.8869,0.992
0.580175885,-0.0989,0.4221,0.8952,0.995
0.583120573,-0.1117,0.4245,0.8991,1.001
0.585328385,-0.1137,0.4241,0.8957,0.998
0.587838021,-0.1181,0.4211,0.9099,1.010
0.590385937,-0.1033,0.4226,0.9148,1.013
0.593009896,-0.1156,0.4275,0.9231,1.024
0.595690052,-0.1063,0.4333,0.9241,1.026
0.59784901,-0.1171,0.4289,0.9309,1.032
0.600361146,-0.1176,0.4260,0.9427,1.041
0.602670104,-0.1112,0.4309,0.9348,1.035
0.605029583,-0.1102,0.4363,0.9153,1.020
0.608460156,-0.0931,0.4255,0.9412,1.037
0.610888021,-0.0902,0.4192,0.9471,1.040
0.613616927,-0.0882,0.4109,0.9544,1.043
0.615551198,-0.0843,0.4050,0.9451,1.032
0.618169167,-0.0828,0.3996,0.9510,1.035
0.62086625,-0.0770,0.3928,0.9480,1.029
0.623258333,-0.0838,0.3957,0.9500,1.033
0.625820364,-0.0906,0.3884,0.9358,1.017
0.627464271,-0.0799,0.3874,0.9324,1.013
0.630331146,-0.0892,0.3816,0.9173,0.997
0.632743073,-0.0975,0.3786,0.9202,1.000
0.635141719,-0.0926,0.3767,0.9090,0.988
0.637573333,-0.0906,0.3821,0.9114,0.992
0.640092708,-0.0989,0.3747,0.9134,0.992
0.642743073,-0.0931,0.3723,0.9134,0.991
0.645346406,-0.0955,0.3703,0.9031,0.981
0.648156823,-0.0980,0.3688,0.9026,0.980
0.650849219,-0.1048,0.3620,0.8952,0.971
0.653040052,-0.1073,0.3605,0.8884,0.965
0.655407812,-0.1122,0.3581,0.8899,0.966
0.660055677,-0.1215,0.3537,0.8928,0.968
0.660644583,-0.1185,0.3463,0.8791,0.952
0.663695677,-0.1234,0.3473,0.8820,0.956
0.667230781,-0.1234,0.3493,0.8845,0.959
0.667929479,-0.1234,0.3434,0.8796,0.952
0.670698958,-0.1283,0.3473,0.8733,0.949
0.673522396,-0.1312,0.3449,0.8630,0.939
0.678807604,-0.1268,0.3493,0.8752,0.951
0.679550937,-0.1400,0.3527,0.8664,0.946
0.680191302,-0.1444,0.3615,0.8620,0.946
0.682664583,-0.1493,0.3610,0.8674,0.951
0.684678333,-0.1571,0.3595,0.8615,0.947
0.687092344,-0.1674,0.3620,0.8601,0.948
0.689881823,-0.1684,0.3605,0.8703,0.957
0.692166198,-0.1767,0.3664,0.8737,0.964
0.695642656,-0.1742,0.3537,0.8747,0.959
0.697418646,-0.1776,0.3590,0.8874,0.974
0.699801458,-0.1781,0.3532,0.8855,0.970
0.702344219,-0.1820,0.3512,0.8864,0.971
0.704639531,-0.1830,0.3478,0.8903,0.973
0.708738073,-0.1762,0.3273,0.8947,0.969
0.710050156,-0.1796,0.3395,0.8840,0.964
0.713217031,-0.1781,0.3302,0.8830,0.959
0.71556375,-0.1703,0.3170,0.8796,0.950
0.717790417,-0.1806,0.3156,0.8791,0.951
0.720558333,-0.1806,0.3073,0.8850,0.954
0.722818229,-0.1869,0.2990,0.8796,0.948
0.724690312,-0.1859,0.3009,0.8806,0.949
0.727677552,-0.1864,0.2873,0.8728,0.938
0.729247031,-0.1933,0.2848,0.8708,0.936
0.732428437,-0.1957,0.2770,0.8694,0.933
0.734761667,-0.1923,0.2663,0.8679,0.928
0.737501042,-0.2079,0.2642,0.8567,0.920
0.739906614,-0.2103,0.2613,0.8542,0.918
0.743062656,-0.2285,0.2653,0.8391,0.909
0.745326198,-0.2358,0.2613,0.8337,0.905
0.747606458,-0.2358,0.2647,0.8220,0.895
0.750266302,-0.2529,0.2668,0.8264,0.904
0.752549062,-0.2588,0.2716,0.8122,0.895
0.754961614,-0.2729,0.2770,0.8117,0.900
0.757469427,-0.2832,0.2751,0.8034,0.895
0.760308906,-0.2920,0.2780,0.7892,0.886
0.763056198,-0.2881,0.2770,0.7936,0.889
0.765630833,-0.2988,0.2858,0.7843,0.887
0.768372344,-0.3091,0.2936,0.7789,0.888
0.770035729,-0.2998,0.2868,0.7706,0.875
0.77225375,-0.3051,0.2892,0.7648,0.873
0.774880208,-0.3047,0.2819,0.7545,0.861
0.777320208,-0.3086,0.2897,0.7428,0.855
0.77967026,-0.3081,0.2941,0.7433,0.857
0.781854948,-0.2954,0.2877,0.7199,0.830
0.784085781,-0.3037,0.2882,0.7179,0.831
0.787031875,-0.2900,0.2824,0.7091,0.817
0.789848802,-0.2910,0.2814,0.7057,0.814
0.792257656,-0.2983,0.2707,0.7052,0.812
0.795017396,-0.2920,0.2721,0.6954,0.802
0.797008698,-0.2964,0.2594,0.6881,0.793
0.799532031,-0.2954,0.2589,0.6754,0.781
0.802850052,-0.2944,0.2594,0.6602,0.768
0.806328802,-0.2959,0.2423,0.6558,0.759
0.806623958,-0.2998,0.2462,0.6456,0.753
0.809658281,-0.2973,0.2418,0.6280,0.736
0.812080833,-0.2944,0.2506,0.6226,0.733
0.814784114,-0.2964,0.2442,0.6168,0.727
0.816929635,-0.2988,0.2452,0.6133,0.725
0.819612083,-0.3100,0.2413,0.6070,0.723
0.822001771,-0.3042,0.2447,0.6006,0.716
0.824964531,-0.3008,0.2335,0.5972,0.708
0.827607812,-0.3095,0.2320,0.5928,0.708
0.830255312,-0.2939,0.2349,0.5865,0.697
0.83219151,-0.2910,0.2237,0.5943,0.699
0.835224271,-0.3076,0.2262,0.5820,0.696
0.837271927,-0.3149,0.2266,0.5845,0.702
0.840331041,-0.3115,0.2218,0.5826,0.697
0.842732604,-0.3105,0.2252,0.5786,0.694
0.845170156,-0.3066,0.2218,0.5728,0.686
0.847473802,-0.3125,0.2130,0.5831,0.695
0.849897083,-0.3120,0.2271,0.5831,0.699
0.852047864,-0.3066,0.2174,0.5767,0.688
0.854430885,-0.3051,0.2135,0.5880,0.696
0.861566614,-0.3091,0.2110,0.5796,0.690
0.863600208,-0.3164,0.2061,0.5831,0.695
0.86436125,-0.2998,0.1988,0.5875,0.689
0.86546875,-0.3081,0.1954,0.5855,0.690
0.867485,-0.2944,0.2037,0.5889,0.689
0.869224948,-0.2910,0.1890,0.5933,0.687
0.871512916,-0.2778,0.1739,0.5904,0.675
0.879154219,-0.2724,0.1724,0.5880,0.671
0.88017,-0.2690,0.1680,0.5836,0.664
0.880309739,-0.2583,0.1568,0.5723,0.647
0.882866875,-0.2588,0.1489,0.5693,0.643
0.883840521,-0.2539,0.1406,0.5698,0.639
0.886360364,-0.2480,0.1392,0.5566,0.625
0.888879531,-0.2412,0.1377,0.5537,0.619
0.891824635,-0.2495,0.1323,0.5527,0.621
0.894140312,-0.2329,0.1362,0.5552,0.617
0.896376927,-0.2475,0.1392,0.5503,0.619
0.8988075,-0.2343,0.1270,0.5635,0.623
0.901259271,-0.2358,0.1377,0.5581,0.621
0.903681406,-0.2373,0.1441,0.5674,0.632
0.906670573,-0.2382,0.1387,0.5850,0.647
0.909410469,-0.2304,0.1353,0.5919,0.649
0.911956666,-0.2265,0.1279,0.6094,0.663
0.914553385,-0.2192,0.1328,0.6260,0.676
0.916578698,-0.2143,0.1323,0.6348,0.683
0.919248021,-0.2129,0.1353,0.6397,0.688
0.921577812,-0.2148,0.1441,0.6392,0.690
0.924552344,-0.2030,0.1358,0.6646,0.708
0.927068958,-0.2016,0.1328,0.6822,0.724
0.930209739,-0.1996,0.1299,0.7008,0.740
0.931531146,-0.1947,0.1255,0.7179,0.754
0.933998802,-0.1913,0.1275,0.7374,0.772
0.936409531,-0.1933,0.1201,0.7545,0.788
0.939435729,-0.2030,0.1157,0.7672,0.802
0.942084531,-0.1928,0.1148,0.7746,0.806
0.944275521,-0.1928,0.1172,0.7765,0.809
0.947060312,-0.1918,0.1069,0.7863,0.816
0.949293073,-0.1991,0.1074,0.8015,0.833
0.951556823,-0.1918,0.0947,0.8010,0.829
0.954278646,-0.1918,0.0957,0.8142,0.842
0.956553541,-0.1977,0.0977,0.8215,0.851
0.959952448,-0.1903,0.1069,0.8308,0.859
0.963443229,-0.1928,0.1065,0.8381,0.867
0.964685989,-0.1850,0.1079,0.8440,0.871
0.969199062,-0.1742,0.1025,0.8484,0.872
0.969573021,-0.1630,0.1030,0.8620,0.883
0.97150151,-0.1547,0.1069,0.8596,0.880
0.974128541,-0.1449,0.1118,0.8557,0.875
0.976413073,-0.1356,0.1182,0.8635,0.882
0.978461614,-0.1322,0.1177,0.8542,0.872
0.980826302,-0.1322,0.1196,0.8518,0.870
0.983214948,-0.1268,0.1255,0.8542,0.873
0.985909531,-0.1176,0.1231,0.8479,0.865
0.989172656,-0.1210,0.1299,0.8576,0.876
0.991574739,-0.1146,0.1255,0.8703,0.887
0.993943437,-0.1117,0.1294,0.8674,0.884
0.995974062,-0.1019,0.1157,0.8645,0.878
0.998358906,-0.0999,0.1182,0.8689,0.883
1.000902969,-0.0999,0.1172,0.8664,0.880
1.003385885,-0.0989,0.1099,0.8610,0.874
1.005963229,-0.1048,0.1050,0.8733,0.886
1.008722135,-0.1093,0.1133,0.8620,0.876
1.011572708,-0.1102,0.1055,0.8728,0.886
1.013614583,-0.1146,0.0996,0.8908,0.904
1.016384635,-0.1273,0.1021,0.9065,0.921
1.018827239,-0.1249,0.1011,0.9178,0.932
1.020926823,-0.1454,0.1050,0.9412,0.958
1.024380677,-0.1576,0.1025,0.9666,0.985
1.02745401,-0.1635,0.0972,0.9803,0.999
1.029973281,-0.1806,0.1113,1.0018,1.024
1.034439323,-0.1908,0.1089,1.0150,1.039
1.034763489,-0.1894,0.1196,1.0345,1.058
1.036382187,-0.1986,0.1279,1.0428,1.069
1.039598594,-0.1933,0.1333,1.0599,1.086
1.04247625,-0.1903,0.1392,1.0770,1.103
1.044455208,-0.1732,0.1392,1.0887,1.111
1.046096406,-0.1605,0.1402,1.0946,1.115
1.048405625,-0.1454,0.1421,1.1029,1.121
1.051903593,-0.1342,0.1367,1.1009,1.117
1.053880781,-0.1239,0.1265,1.0980,1.112
1.055705937,-0.1205,0.1245,1.0848,1.099
1.058296614,-0.1117,0.1245,1.0882,1.101
1.060664114,-0.1058,0.1250,1.0887,1.101
1.063053541,-0.0965,0.1211,1.0873,1.098
1.065444583,-0.1009,0.1250,1.0892,1.101
1.068065312,-0.1019,0.1323,1.0873,1.100
1.070547864,-0.1038,0.1436,1.0809,1.095
1.075837656,-0.0985,0.1402,1.0848,1.098
1.076495885,-0.0980,0.1445,1.0922,1.106
1.081931093,-0.0980,0.1450,1.1009,1.115
1.082385104,-0.1073,0.1441,1.1048,1.119
1.084160937,-0.1083,0.1485,1.0985,1.114
1.086210312,-0.1093,0.1597,1.1102,1.127
1.088939583,-0.1205,0.1627,1.1073,1.126
1.090893385,-0.1278,0.1651,1.1097,1.129
1.093827604,-0.1264,0.1710,1.1117,1.132
1.095881093,-0.1229,0.1793,1.0941,1.115
1.098170364,-0.1264,0.1724,1.1019,1.122
1.100546875,-0.1171,0.1812,1.0975,1.119
1.102807031,-0.1112,0.1715,1.1039,1.123
1.105204062,-0.1068,0.1783,1.1058,1.125
1.108320833,-0.0926,0.1759,1.1117,1.129
1.111502135,-0.0775,0.1734,1.1058,1.122
1.113450625,-0.0692,0.1641,1.1147,1.129
1.116198489,-0.0594,0.1612,1.1215,1.135
1.118145104,-0.0423,0.1666,1.1176,1.131
1.1206325,-0.0394,0.1582,1.1254,1.137
1.123669948,-0.0247,0.1504,1.1127,1.123
1.127878021,-0.0125,0.1377,1.1220,1.130
1.130867968,0.0125,0.1338,1.1186,1.127
1.131198437,-0.0154,0.1226,1.0936,1.101
1.133340729,-0.0140,0.1089,1.0516,1.057
1.135629739,0.0076,0.1089,1.0643,1.070
1.138372448,0.0134,0.1069,1.0785,1.084
1.141081927,0.0217,0.1065,1.0824,1.088
1.144246979,0.0217,0.1060,1.0643,1.070
1.145412343,0.0198,0.1069,1.0702,1.076
1.148627916,0.0261,0.1157,1.0682,1.075
1.150452239,0.0222,0.1128,1.0648,1.071
1.152968125,0.0222,0.1177,1.0492,1.056
1.155272187,0.0232,0.1123,1.0419,1.048
1.157868906,0.0139,0.1367,1.0423,1.051
1.160423177,0.0042,0.1333,1.0370,1.046
1.162829166,-0.0150,0.1358,1.0209,1.030
1.165243333,-0.0277,0.1421,1.0145,1.025
1.167484323,-0.0364,0.1514,1.0145,1.026
1.170291771,-0.0516,0.1646,1.0096,1.024
1.172899166,-0.0677,0.1715,0.9866,1.004
1.175781718,-0.0701,0.1602,0.9808,0.996
1.180145937,-0.0770,0.1700,0.9627,0.981
1.180685885,-0.0902,0.1641,0.9588,0.977
1.183733125,-0.0965,0.1646,0.9612,0.980
1.185964062,-0.0921,0.1676,0.9485,0.968
1.187832812,-0.0931,0.1568,0.9539,0.971
1.190356302,-0.0867,0.1602,0.9578,0.975
1.192735312,-0.0843,0.1602,0.9588,0.976
1.195421302,-0.0833,0.1572,0.9681,0.984
1.198075937,-0.0736,0.1563,0.9700,0.985
1.200289843,-0.0731,0.1441,0.9856,0.999
1.20278776,-0.0677,0.1489,1.0008,1.014
1.205118958,-0.0574,0.1362,1.0160,1.027
1.20792776,-0.0530,0.1436,1.0443,1.055
1.21110151,-0.0413,0.1455,1.0633,1.074
